Rule,N,apertus8b_zeroshot,gc31_lightning_zeroshot,gemma3_12b_zeroshot,gemma3_1b_zeroshot,gemma3_4b_zeroshot,qwen25_7b_zeroshot,qwen35_08b_zeroshot,qwen35_4b_zeroshot,qwen35_9b_zeroshot,v4_apertus_8b,v4_apertus_8b_lorugec,v4_clean_only_qwen25_7b,v4_clean_only_qwen35_08b,v4_gemma3_12b,v4_gemma3_12b_lorugec,v4_gemma3_1b,v4_gemma3_1b_lorugec,v4_gemma3_4b,v4_gemma3_4b_lorugec,v4_lorugec_only_apertus_8b,v4_lorugec_only_gemma3_12b,v4_lorugec_only_gemma3_1b,v4_lorugec_only_gemma3_4b,v4_lorugec_only_qwen25_7b,v4_lorugec_only_qwen35_08b,v4_lorugec_only_qwen35_4b,v4_lorugec_only_qwen35_9b,v4_qwen25_7b,v4_qwen25_7b_lorugec,v4_qwen35_08b,v4_qwen35_08b_lorugec,v4_qwen35_4b,v4_qwen35_4b_lorugec,v4_qwen35_9b,v4_qwen35_9b_lorugec
"""н"" и ""нн"" в суффиксах прилагательных",10,60.0,70.0,90.0,20.0,30.0,40.0,40.0,30.0,50.0,60.0,80.0,0.0,0.0,60.0,80.0,50.0,0.0,50.0,40.0,60.0,90.0,20.0,20.0,60.0,40.0,50.0,60.0,50.0,50.0,60.0,40.0,40.0,40.0,50.0,70.0
"Гласные ""ы"" и ""и"" после приставок",12,33.3,66.7,25.0,8.3,16.7,8.3,25.0,41.7,58.3,41.7,33.3,8.3,8.3,41.7,16.7,25.0,33.3,25.0,33.3,50.0,41.7,16.7,8.3,25.0,16.7,33.3,58.3,33.3,41.7,33.3,16.7,66.7,75.0,58.3,66.7
"Гласные после ""ц""",10,70.0,70.0,60.0,10.0,40.0,60.0,10.0,60.0,70.0,70.0,80.0,10.0,0.0,60.0,60.0,30.0,20.0,60.0,60.0,70.0,60.0,10.0,30.0,70.0,20.0,50.0,80.0,60.0,70.0,30.0,30.0,60.0,60.0,70.0,70.0
Гласные после шипящих,12,50.0,41.7,58.3,0.0,16.7,50.0,8.3,33.3,50.0,41.7,83.3,0.0,0.0,41.7,58.3,16.7,16.7,33.3,50.0,75.0,50.0,16.7,25.0,33.3,8.3,25.0,66.7,33.3,58.3,8.3,8.3,50.0,66.7,33.3,58.3
Дефис в составе письменных эквивалентов сложных слов,10,60.0,70.0,50.0,10.0,20.0,40.0,10.0,60.0,40.0,60.0,80.0,0.0,0.0,80.0,70.0,30.0,30.0,60.0,60.0,40.0,50.0,20.0,20.0,50.0,20.0,80.0,70.0,10.0,50.0,20.0,70.0,40.0,70.0,60.0,80.0
Запятая внутри выражений фразеологического характера,13,0.0,7.7,23.1,0.0,0.0,0.0,0.0,0.0,7.7,15.4,76.9,0.0,0.0,84.6,38.5,23.1,46.2,38.5,38.5,7.7,53.8,7.7,7.7,7.7,0.0,7.7,61.5,30.8,61.5,0.0,38.5,69.2,53.8,0.0,69.2
Запятая между однородными придаточными,10,10.0,10.0,20.0,0.0,30.0,20.0,0.0,10.0,30.0,0.0,70.0,0.0,0.0,0.0,80.0,0.0,90.0,0.0,60.0,10.0,70.0,10.0,60.0,40.0,20.0,40.0,100.0,0.0,20.0,0.0,90.0,0.0,50.0,10.0,90.0
Запятая между частями СПП с общей частью,12,8.3,8.3,16.7,0.0,50.0,0.0,0.0,8.3,8.3,8.3,8.3,0.0,0.0,8.3,33.3,8.3,25.0,8.3,50.0,8.3,16.7,16.7,66.7,41.7,8.3,33.3,50.0,8.3,16.7,8.3,58.3,8.3,8.3,8.3,33.3
Запятая на стыке двух союзов,12,33.3,16.7,58.3,16.7,41.7,25.0,16.7,8.3,8.3,50.0,50.0,25.0,25.0,50.0,50.0,33.3,33.3,41.7,58.3,25.0,50.0,25.0,33.3,8.3,33.3,8.3,50.0,41.7,58.3,25.0,41.7,58.3,66.7,8.3,41.7
"Запятая перед союзом ""как"": 1",16,25.0,18.8,31.2,6.2,56.2,31.2,0.0,25.0,31.2,37.5,68.8,0.0,0.0,43.8,56.2,31.2,50.0,37.5,43.8,18.8,50.0,31.2,43.8,12.5,18.8,31.2,43.8,37.5,50.0,12.5,56.2,18.8,43.8,50.0,50.0
"Запятая перед союзом ""как"": 2",10,60.0,20.0,80.0,30.0,60.0,30.0,0.0,30.0,50.0,50.0,70.0,0.0,0.0,60.0,80.0,30.0,50.0,30.0,80.0,30.0,70.0,50.0,60.0,30.0,40.0,60.0,80.0,10.0,50.0,10.0,50.0,50.0,80.0,40.0,90.0
"Запятая перед союзом ""как"": 3",15,66.7,46.7,46.7,13.3,60.0,66.7,6.7,66.7,46.7,60.0,80.0,0.0,0.0,60.0,100.0,33.3,26.7,53.3,66.7,46.7,46.7,13.3,60.0,13.3,33.3,26.7,20.0,46.7,80.0,33.3,46.7,53.3,86.7,60.0,60.0
Знаки препинания в предложениях с однородными членами: пары,12,0.0,0.0,16.7,0.0,0.0,0.0,0.0,8.3,8.3,0.0,16.7,0.0,0.0,0.0,75.0,0.0,41.7,0.0,41.7,0.0,25.0,0.0,0.0,33.3,16.7,33.3,50.0,0.0,41.7,0.0,58.3,0.0,83.3,8.3,58.3
Лексическая сочетаемость слов,14,0.0,0.0,14.3,0.0,0.0,28.6,0.0,28.6,21.4,14.3,21.4,0.0,0.0,14.3,35.7,14.3,21.4,21.4,14.3,0.0,14.3,7.1,7.1,14.3,0.0,21.4,28.6,14.3,21.4,0.0,0.0,14.3,28.6,14.3,28.6
Нарушение норм управления,16,31.2,12.5,25.0,12.5,18.8,18.8,6.2,50.0,56.2,12.5,37.5,0.0,0.0,37.5,43.8,6.2,18.8,25.0,25.0,37.5,31.2,12.5,25.0,31.2,6.2,31.2,62.5,6.2,12.5,0.0,6.2,18.8,37.5,37.5,56.2
Обособление деепричастий после союзов,13,30.8,38.5,46.2,0.0,23.1,15.4,7.7,30.8,38.5,23.1,30.8,7.7,7.7,61.5,84.6,7.7,0.0,30.8,53.8,7.7,38.5,0.0,30.8,7.7,7.7,0.0,15.4,15.4,23.1,30.8,23.1,7.7,46.2,61.5,69.2
"Обособление согласованных определений, относящихся к личному местоимению",10,20.0,10.0,0.0,10.0,0.0,0.0,10.0,20.0,20.0,40.0,30.0,10.0,10.0,30.0,30.0,20.0,10.0,20.0,30.0,10.0,0.0,0.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,0.0,10.0,30.0,30.0
"Обособление согласованных определений, оторванных от определяемого слова",10,30.0,30.0,20.0,0.0,30.0,30.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,40.0,30.0,10.0,0.0,20.0,10.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,30.0,50.0
Плеоназмы,16,12.5,12.5,18.8,0.0,12.5,6.2,6.2,25.0,12.5,12.5,18.8,0.0,0.0,31.2,31.2,18.8,12.5,31.2,25.0,0.0,18.8,0.0,12.5,6.2,0.0,0.0,12.5,12.5,25.0,6.2,12.5,18.8,25.0,25.0,31.2
"Правописание ""зато""",12,25.0,25.0,33.3,0.0,0.0,8.3,0.0,16.7,16.7,91.7,91.7,0.0,0.0,66.7,75.0,33.3,50.0,58.3,66.7,41.7,25.0,0.0,16.7,8.3,0.0,0.0,33.3,66.7,91.7,41.7,83.3,75.0,91.7,16.7,83.3
"Правописание ""не"" с глаголами",11,45.5,27.3,18.2,0.0,18.2,9.1,0.0,18.2,36.4,63.6,72.7,0.0,0.0,63.6,72.7,36.4,18.2,45.5,54.5,45.5,45.5,0.0,18.2,27.3,0.0,9.1,54.5,45.5,54.5,45.5,36.4,63.6,45.5,54.5,63.6
