rule,l0,zs_9b,think_9b,delta_9b,think_35b
"""н"" и ""нн"" в суффиксах прилагательных",?,50.0,20.0,-30.0,40.0
"Гласные ""ы"" и ""и"" после приставок",SPELL,58.3,16.7,-41.6,16.7
"Гласные после ""ц""",SPELL,70.0,30.0,-40.0,40.0
Гласные после шипящих,SPELL,50.0,16.7,-33.3,41.7
Дефис в составе письменных эквивалентов сложных слов,SPELL,40.0,0.0,-40.0,40.0
Запятая внутри выражений фразеологического характера,PUNCT,7.7,0.0,-7.7,0.0
Запятая между однородными придаточными,PUNCT,30.0,10.0,-20.0,0.0
Запятая между частями СПП с общей частью,PUNCT,8.3,0.0,-8.3,8.3
Запятая на стыке двух союзов,PUNCT,8.3,0.0,-8.3,0.0
"Запятая перед союзом ""как"": 1",?,31.2,0.0,-31.2,25.0
"Запятая перед союзом ""как"": 2",?,50.0,10.0,-40.0,30.0
"Запятая перед союзом ""как"": 3",?,46.7,6.7,-40.0,33.3
Знаки препинания в предложениях с однородными членами: пары,?,8.3,0.0,-8.3,0.0
Лексическая сочетаемость слов,LEX,21.4,0.0,-21.4,0.0
Нарушение норм управления,GOV,56.2,0.0,-56.2,12.5
Обособление деепричастий после союзов,PUNCT,38.5,0.0,-38.5,7.7
"Обособление согласованных определений, относящихся к личному местоимению",PUNCT,20.0,0.0,-20.0,10.0
"Обособление согласованных определений, оторванных от определяемого слова",?,20.0,0.0,-20.0,0.0
Плеоназмы,LEX,12.5,12.5,0.0,6.2
"Правописание ""зато""",?,16.7,0.0,-16.7,33.3
"Правописание ""не"" с глаголами",SPELL,36.4,18.2,-18.2,9.1
"Правописание ""не"" с прилагательными",SPELL,20.0,0.0,-20.0,26.7
"Правописание ""оттого""",?,38.9,5.6,-33.3,22.2
"Правописание ""причем"" и ""притом""",SPELL,15.4,23.1,7.7,30.8
"Правописание ""также""",?,40.0,10.0,-30.0,10.0
"Правописание ""чтобы""",?,46.2,15.4,-30.8,38.5
Правописание гласных в суффиксах причастий,SPELL,50.0,20.0,-30.0,10.0
Правописание приставок пре- и при-,SPELL,20.0,10.0,-10.0,20.0
"Правописание разделительных ""ъ"" и ""ь""",SPELL,33.3,6.7,-26.6,13.3
Правописание сложных прилагательных,SPELL,50.0,30.0,-20.0,30.0
"Правописание суффиксов -еньк, -оньк в существительных.",SPELL,8.3,8.3,0.0,25.0
"Правописание суффиксов -иц, -ец в существительных среднего рода",?,0.0,0.0,0.0,0.0
"Правописание суффиксов −ек, −ик",?,44.4,0.0,-44.4,0.0
"Правописание суффиксов −инск, −енск в прилагательных",SPELL,40.0,10.0,-30.0,20.0
"Правописание частицы ""не"" с причастиями",SPELL,21.4,0.0,-21.4,0.0
"Правописание частицы ""не"" с существительными",SPELL,35.0,5.0,-30.0,10.0
Правописание частицы -таки,SPELL,38.5,38.5,-0.0,38.5
Правописание числительного пол-,SPELL,9.1,0.0,-9.1,0.0
Пунктуация в цельных по смыслу (неразложимых) сочетаниях,PUNCT,27.8,16.7,-11.1,22.2
Пунктуация при вводных словах и конструкциях,PUNCT,47.4,5.3,-42.1,15.8
Пунктуация при повторяющихся союзах,?,22.2,0.0,-22.2,0.0
Склонение количественных числительных,MORPH,40.0,20.0,-20.0,20.0
"Склонение числительных ""полтора"", ""полторы"", ""полтораста""",AGR,20.0,0.0,-20.0,10.0
"Слитное, раздельное и дефисное написание наречий",SPELL,43.8,18.8,-25.0,25.0
Согласование причастий с определяемым словом,AGR,37.5,6.2,-31.2,25.0
Тире в бессоюзных предложениях,PUNCT,13.3,0.0,-13.3,6.7
Тире между подлежащим и сказуемым,PUNCT,43.8,0.0,-43.8,6.2
Тире при приложении,PUNCT,33.3,0.0,-33.3,6.7
